experiment_id,condition,participant_id,participant_age,participant_gender,tech_proficiency,ordering_frequency,emotional_state,task_completion_time,error_count,decision_changes,recommendations_shown,recommendations_accepted,recommendation_acceptance_rate,nasa_tlx_mental_demand,nasa_tlx_physical_demand,nasa_tlx_temporal_demand,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_overall,sus_total,satisfaction_overall,satisfaction_ease_of_use,satisfaction_recommendation_quality,satisfaction_personalization,satisfaction_decision_confidence,satisfaction_enjoyment,satisfaction_return_intention,timestamp
P004_emotion_responsive_1,emotion_responsive,P004,30,male,advanced,high,stressed,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:45.363063
P004_emotion_responsive_2,emotion_responsive,P004,30,male,advanced,high,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:48.195075
P004_emotion_responsive_3,emotion_responsive,P004,30,male,advanced,high,sad,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:51.019100
P004_emotion_responsive_4,emotion_responsive,P004,30,male,advanced,high,stressed,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:52.239589
P004_emotion_responsive_5,emotion_responsive,P004,30,male,advanced,high,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:54.393029
P004_traditional_1,traditional,P004,30,male,advanced,high,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:55.759002
P004_traditional_2,traditional,P004,30,male,advanced,high,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:57.158604
P004_traditional_3,traditional,P004,30,male,advanced,high,happy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:34:59.539580
P004_traditional_4,traditional,P004,30,male,advanced,high,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:00.745844
P004_traditional_5,traditional,P004,30,male,advanced,high,sad,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:02.784766
P005_emotion_responsive_1,emotion_responsive,P005,27,female,intermediate,medium,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:05.561349
P005_emotion_responsive_2,emotion_responsive,P005,27,female,intermediate,medium,happy,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:07.799394
P005_emotion_responsive_3,emotion_responsive,P005,27,female,intermediate,medium,surprised,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:08.929857
P005_emotion_responsive_4,emotion_responsive,P005,27,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:35:10.665572
P001_emotion_responsive_1,emotion_responsive,P001,25,female,intermediate,high,tired,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:18.849188
P001_emotion_responsive_2,emotion_responsive,P001,25,female,intermediate,high,stressed,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:21.015688
P001_emotion_responsive_3,emotion_responsive,P001,25,female,intermediate,high,angry,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:23.753142
P001_emotion_responsive_4,emotion_responsive,P001,25,female,intermediate,high,stressed,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:25.185388
P001_emotion_responsive_5,emotion_responsive,P001,25,female,intermediate,high,stressed,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:26.274333
P001_traditional_1,traditional,P001,25,female,intermediate,high,happy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:28.682200
P001_traditional_2,traditional,P001,25,female,intermediate,high,tired,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:29.749989
P001_traditional_3,traditional,P001,25,female,intermediate,high,tired,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:32.632389
P001_traditional_4,traditional,P001,25,female,intermediate,high,surprised,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:34.340771
P001_traditional_5,traditional,P001,25,female,intermediate,high,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:36.736069
P002_emotion_responsive_1,emotion_responsive,P002,22,male,advanced,medium,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:38.108472
P002_emotion_responsive_2,emotion_responsive,P002,22,male,advanced,medium,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:40.093325
P002_emotion_responsive_3,emotion_responsive,P002,22,male,advanced,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:42.896465
P002_emotion_responsive_4,emotion_responsive,P002,22,male,advanced,medium,stressed,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:44.953121
P002_emotion_responsive_5,emotion_responsive,P002,22,male,advanced,medium,happy,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:46.663319
P002_traditional_1,traditional,P002,22,male,advanced,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:49.243813
P002_traditional_2,traditional,P002,22,male,advanced,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:51.592284
P002_traditional_3,traditional,P002,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:53.113425
P002_traditional_4,traditional,P002,22,male,advanced,medium,angry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:54.179560
P002_traditional_5,traditional,P002,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:56.759907
P003_emotion_responsive_1,emotion_responsive,P003,22,male,advanced,medium,happy,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:58.590944
P003_emotion_responsive_2,emotion_responsive,P003,22,male,advanced,medium,surprised,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:37:59.634085
P003_emotion_responsive_3,emotion_responsive,P003,22,male,advanced,medium,happy,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:01.248148
P003_emotion_responsive_4,emotion_responsive,P003,22,male,advanced,medium,angry,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:03.623358
P003_emotion_responsive_5,emotion_responsive,P003,22,male,advanced,medium,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:05.280292
P003_traditional_1,traditional,P003,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:07.087481
P003_traditional_2,traditional,P003,22,male,advanced,medium,happy,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:09.637226
P003_traditional_3,traditional,P003,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:12.610645
P003_traditional_4,traditional,P003,22,male,advanced,medium,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:14.691796
P003_traditional_5,traditional,P003,22,male,advanced,medium,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:16.435102
P004_emotion_responsive_1,emotion_responsive,P004,22,male,advanced,medium,neutral,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:17.957108
P004_emotion_responsive_2,emotion_responsive,P004,22,male,advanced,medium,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:20.499055
P004_emotion_responsive_3,emotion_responsive,P004,22,male,advanced,medium,neutral,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:22.121627
P004_emotion_responsive_4,emotion_responsive,P004,22,male,advanced,medium,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:24.359242
P004_emotion_responsive_5,emotion_responsive,P004,22,male,advanced,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:27.082750
P004_traditional_1,traditional,P004,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:29.629111
P004_traditional_2,traditional,P004,22,male,advanced,medium,surprised,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:30.843637
P004_traditional_3,traditional,P004,22,male,advanced,medium,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:33.542978
P004_traditional_4,traditional,P004,22,male,advanced,medium,happy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:35.319108
P004_traditional_5,traditional,P004,22,male,advanced,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:38.216573
P005_emotion_responsive_1,emotion_responsive,P005,30,male,advanced,high,surprised,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:39.461979
P005_emotion_responsive_2,emotion_responsive,P005,30,male,advanced,high,neutral,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:42.115895
P005_emotion_responsive_3,emotion_responsive,P005,30,male,advanced,high,stressed,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:43.491350
P005_emotion_responsive_4,emotion_responsive,P005,30,male,advanced,high,neutral,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:46.122958
P005_emotion_responsive_5,emotion_responsive,P005,30,male,advanced,high,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:48.356279
P005_traditional_1,traditional,P005,30,male,advanced,high,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:49.363202
P005_traditional_2,traditional,P005,30,male,advanced,high,tired,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:50.876267
P005_traditional_3,traditional,P005,30,male,advanced,high,tired,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:52.016844
P005_traditional_4,traditional,P005,30,male,advanced,high,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:53.783294
P005_traditional_5,traditional,P005,30,male,advanced,high,neutral,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:54.987435
P006_emotion_responsive_1,emotion_responsive,P006,24,female,intermediate,medium,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:56.634637
P006_emotion_responsive_2,emotion_responsive,P006,24,female,intermediate,medium,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:38:58.962619
P006_emotion_responsive_3,emotion_responsive,P006,24,female,intermediate,medium,angry,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:01.358570
P006_emotion_responsive_4,emotion_responsive,P006,24,female,intermediate,medium,sad,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:02.447583
P006_emotion_responsive_5,emotion_responsive,P006,24,female,intermediate,medium,sad,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:04.413553
P006_traditional_1,traditional,P006,24,female,intermediate,medium,tired,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:05.515818
P006_traditional_2,traditional,P006,24,female,intermediate,medium,sad,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:06.678018
P006_traditional_3,traditional,P006,24,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:09.370699
P006_traditional_4,traditional,P006,24,female,intermediate,medium,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:11.859460
P006_traditional_5,traditional,P006,24,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:13.997362
P007_emotion_responsive_1,emotion_responsive,P007,24,female,intermediate,medium,neutral,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:16.351253
P007_emotion_responsive_2,emotion_responsive,P007,24,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:18.062595
P007_emotion_responsive_3,emotion_responsive,P007,24,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:20.038527
P007_emotion_responsive_4,emotion_responsive,P007,24,female,intermediate,medium,surprised,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:21.677983
P007_emotion_responsive_5,emotion_responsive,P007,24,female,intermediate,medium,neutral,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:24.297515
P007_traditional_1,traditional,P007,24,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:25.758085
P007_traditional_2,traditional,P007,24,female,intermediate,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:28.133084
P007_traditional_3,traditional,P007,24,female,intermediate,medium,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:29.438191
P007_traditional_4,traditional,P007,24,female,intermediate,medium,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:31.091141
P007_traditional_5,traditional,P007,24,female,intermediate,medium,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:33.475697
P008_emotion_responsive_1,emotion_responsive,P008,22,male,advanced,medium,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:35.859107
P008_emotion_responsive_2,emotion_responsive,P008,22,male,advanced,medium,stressed,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:37.169310
P008_emotion_responsive_3,emotion_responsive,P008,22,male,advanced,medium,neutral,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:39.400804
P008_emotion_responsive_4,emotion_responsive,P008,22,male,advanced,medium,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:41.085521
P008_emotion_responsive_5,emotion_responsive,P008,22,male,advanced,medium,angry,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:43.010806
P008_traditional_1,traditional,P008,22,male,advanced,medium,neutral,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:44.688562
P008_traditional_2,traditional,P008,22,male,advanced,medium,surprised,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:46.690647
P008_traditional_3,traditional,P008,22,male,advanced,medium,tired,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:49.408943
P008_traditional_4,traditional,P008,22,male,advanced,medium,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:51.992978
P008_traditional_5,traditional,P008,22,male,advanced,medium,neutral,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:54.705587
P009_emotion_responsive_1,emotion_responsive,P009,30,male,advanced,high,neutral,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:56.585064
P009_emotion_responsive_2,emotion_responsive,P009,30,male,advanced,high,happy,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:39:59.162574
P009_emotion_responsive_3,emotion_responsive,P009,30,male,advanced,high,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:01.476626
P009_emotion_responsive_4,emotion_responsive,P009,30,male,advanced,high,tired,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:02.605816
P009_emotion_responsive_5,emotion_responsive,P009,30,male,advanced,high,surprised,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:04.021507
P009_traditional_1,traditional,P009,30,male,advanced,high,surprised,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:05.174107
P009_traditional_2,traditional,P009,30,male,advanced,high,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:06.245850
P009_traditional_3,traditional,P009,30,male,advanced,high,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:08.559946
P009_traditional_4,traditional,P009,30,male,advanced,high,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:10.224954
P009_traditional_5,traditional,P009,30,male,advanced,high,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:12.339556
P010_emotion_responsive_1,emotion_responsive,P010,23,male,basic,low,tired,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:14.703682
P010_emotion_responsive_2,emotion_responsive,P010,23,male,basic,low,happy,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:17.124006
P010_emotion_responsive_3,emotion_responsive,P010,23,male,basic,low,neutral,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:19.661636
P010_emotion_responsive_4,emotion_responsive,P010,23,male,basic,low,neutral,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:21.738302
P010_emotion_responsive_5,emotion_responsive,P010,23,male,basic,low,stressed,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:24.335750
P010_traditional_1,traditional,P010,23,male,basic,low,stressed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:27.340009
P010_traditional_2,traditional,P010,23,male,basic,low,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:29.127878
P010_traditional_3,traditional,P010,23,male,basic,low,happy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:31.696203
P010_traditional_4,traditional,P010,23,male,basic,low,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:33.023697
P010_traditional_5,traditional,P010,23,male,basic,low,sad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:34.495789
P011_emotion_responsive_1,emotion_responsive,P011,26,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:35.715327
P011_emotion_responsive_2,emotion_responsive,P011,26,female,intermediate,medium,happy,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-11T14:40:36.996945
